right x, right y, right size, left x, left y, left size
3.151123,8.673828,34.730469,7.843262,7.717041,35.921875
3.149658,8.679443,34.726562,7.845947,7.716309,35.917969
3.148926,8.677002,34.734375,7.844238,7.712402,35.902344
3.148682,8.677002,34.746094,7.846680,7.711914,35.894531
3.154053,8.679688,34.761719,7.844727,7.709473,35.878906
3.155762,8.678955,34.757812,7.841309,7.707031,35.867188
3.157471,8.679688,34.742188,7.841064,7.706299,35.875000
3.160400,8.681396,34.738281,7.844482,7.706055,35.851562
3.162354,8.683594,34.742188,7.845703,7.702637,35.847656
3.166016,8.685791,34.742188,7.844238,7.703857,35.851562
3.162354,8.682373,34.746094,7.842529,7.702637,35.859375
3.164551,8.679199,34.750000,7.842773,7.699951,35.855469
3.163818,8.673828,34.753906,7.845215,7.698486,35.843750
3.161377,8.670166,34.750000,7.844971,7.696045,35.832031
3.166016,8.671143,34.746094,7.844482,7.696777,35.832031
3.167480,8.667236,34.750000,7.851074,7.694580,35.820312
3.168457,8.665283,34.746094,7.854736,7.693115,35.820312
3.166016,8.663818,34.750000,7.855225,7.691406,35.808594
3.165283,8.663818,34.742188,7.852539,7.689941,35.812500
3.165527,8.669434,34.750000,7.853271,7.687988,35.800781
3.169678,8.665771,34.742188,7.851562,7.690430,35.808594
3.169189,8.670410,34.746094,7.846191,7.688965,35.808594
3.170166,8.671631,34.746094,7.841553,7.687988,35.808594
3.165771,8.663086,34.750000,7.839111,7.686523,35.804688
3.168701,8.662842,34.750000,7.843750,7.685059,35.800781
3.171631,8.665771,34.753906,7.841797,7.685303,35.808594
3.174805,8.666504,34.750000,7.836670,7.685303,35.812500
3.174561,8.660645,34.753906,7.841553,7.686523,35.804688
3.172607,8.659912,34.750000,7.838379,7.688721,35.800781
3.167480,8.660645,34.750000,7.841797,7.688965,35.804688
3.164307,8.658691,34.750000,7.843994,7.688477,35.800781
3.163330,8.658936,34.746094,7.839355,7.686279,35.800781
3.157959,8.656250,34.753906,7.839844,7.685059,35.800781
3.161865,8.657471,34.750000,7.840820,7.684570,35.789062
3.158691,8.654541,34.750000,7.844727,7.684326,35.781250
3.163574,8.658936,34.746094,7.846924,7.685547,35.777344
